iter	Passed	Remaining
0	1	1629
1	3	1722
2	5	1820
3	6	1733
4	8	1668
5	9	1633
6	11	1609
7	13	1615
8	14	1616
9	16	1594
10	17	1573
11	19	1571
12	20	1559
13	22	1563
14	23	1555
15	25	1555
16	27	1576
17	28	1572
18	30	1565
19	31	1553
20	33	1542
21	34	1538
22	36	1562
23	38	1570
24	40	1562
25	41	1553
26	43	1550
27	44	1543
28	46	1540
29	47	1530
30	48	1526
31	50	1523
32	52	1544
33	54	1541
34	55	1536
35	57	1530
36	58	1524
37	60	1523
38	61	1520
39	63	1517
40	64	1515
41	66	1513
42	68	1518
43	69	1517
44	71	1514
45	72	1511
46	74	1508
47	76	1507
48	77	1504
49	79	1503
50	80	1504
51	82	1503
52	84	1506
53	85	1505
54	87	1504
55	89	1503
56	90	1501
57	92	1505
58	94	1507
59	96	1504
60	97	1501
61	99	1503
62	102	1522
63	104	1524
64	105	1522
65	107	1520
66	109	1522
67	110	1519
68	113	1524
69	115	1528
70	117	1531
71	118	1530
72	120	1527
73	121	1524
74	123	1524
75	125	1522
76	126	1519
77	128	1521
78	130	1519
79	131	1515
80	133	1516
81	136	1526
82	138	1528
83	140	1531
84	141	1528
85	143	1525
86	145	1530
87	147	1529
88	149	1528
89	151	1535
90	153	1535
91	155	1531
92	156	1527
93	158	1527
94	160	1524
95	161	1522
96	163	1519
97	164	1518
98	167	1520
99	168	1516
100	170	1513
101	171	1513
102	173	1514
103	175	1513
104	177	1512
105	178	1509
106	180	1510
107	182	1507
108	184	1505
109	185	1502
110	187	1499
111	188	1497
112	190	1494
113	192	1492
114	193	1490
115	195	1487
116	197	1489
117	199	1488
118	200	1487
119	202	1484
120	203	1481
121	205	1477
122	206	1475
123	208	1473
124	210	1472
125	211	1469
126	213	1466
127	215	1465
128	216	1462
129	218	1459
130	219	1457
131	221	1455
132	222	1452
133	224	1450
134	226	1449
135	227	1447
136	229	1443
137	231	1443
138	233	1444
139	234	1441
140	236	1438
141	237	1436
142	239	1433
143	240	1431
144	242	1430
145	244	1427
146	245	1426
147	247	1426
148	249	1424
149	251	1422
150	252	1419
151	253	1416
152	255	1414
153	256	1411
154	258	1408
155	259	1406
156	261	1404
157	263	1402
158	264	1400
159	266	1397
160	267	1395
161	269	1392
162	270	1390
163	272	1388
164	273	1386
165	275	1383
166	276	1381
167	278	1378
168	280	1377
169	281	1375
170	283	1372
171	284	1370
172	286	1367
173	287	1365
174	289	1363
175	290	1361
176	292	1359
177	293	1356
178	295	1355
179	297	1354
180	298	1351
181	300	1351
182	302	1349
183	304	1348
184	305	1346
185	306	1343
186	308	1341
187	310	1339
188	311	1336
189	313	1335
190	314	1333
191	316	1331
192	317	1329
193	319	1326
194	320	1324
195	322	1324
196	325	1325
197	326	1322
198	328	1321
199	329	1319
200	331	1317
201	332	1314
202	334	1312
203	335	1309
204	337	1307
205	338	1305
206	340	1302
207	341	1300
208	343	1298
209	344	1297
210	346	1294
211	347	1292
212	349	1290
213	350	1288
214	352	1286
215	354	1286
216	356	1284
217	357	1282
218	359	1280
219	360	1278
220	362	1278
221	364	1276
222	365	1274
223	367	1272
224	368	1270
225	370	1267
226	372	1267
227	373	1264
228	375	1262
229	376	1260
230	378	1259
231	380	1258
232	381	1255
233	383	1255
234	385	1253
235	386	1252
236	388	1251
237	390	1251
238	392	1249
239	394	1248
240	395	1245
241	397	1243
242	398	1241
243	400	1239
244	401	1237
245	403	1235
246	404	1234
247	406	1232
248	407	1229
249	409	1227
250	410	1226
251	412	1223
252	414	1223
253	415	1220
254	417	1218
255	418	1216
256	420	1214
257	422	1214
258	423	1212
259	425	1209
260	427	1210
261	429	1208
262	431	1207
263	433	1207
264	434	1205
265	436	1203
266	437	1201
267	439	1199
268	440	1197
269	442	1195
270	443	1194
271	445	1192
272	446	1190
273	448	1188
274	449	1186
275	451	1183
276	452	1181
277	454	1179
278	455	1177
279	457	1175
280	458	1173
281	461	1173
282	462	1171
283	464	1169
284	465	1168
285	466	1165
286	468	1163
287	469	1161
288	471	1159
289	472	1157
290	474	1155
291	476	1154
292	477	1152
293	478	1149
294	480	1147
295	481	1145
296	483	1143
297	484	1141
298	486	1139
299	487	1137
300	489	1136
301	490	1134
302	492	1132
303	493	1130
304	495	1128
305	496	1126
306	498	1124
307	499	1122
308	501	1121
309	503	1120
310	504	1118
311	506	1116
312	507	1114
313	510	1114
314	511	1112
315	513	1110
316	514	1109
317	516	1107
318	518	1106
319	519	1104
320	521	1102
321	522	1100
322	524	1098
323	525	1097
324	527	1095
325	528	1093
326	530	1091
